 ;;;;;;;
Date;Week;Foreign.intelligence.gathering.aircraft;Foreign.UAVs;podyom avitasii;podyomov istrebitelij;vilet;URL
2018-10-05;40;21;;;5;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-20/
2018-10-12;41;8;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-21/
2018-10-19;42;19;;;8;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-22/
2018-10-26;43;16;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-23/
2018-11-02;44;17;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-24/
2018-11-09;45;16;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-25/
2018-11-16;46;16;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-26/
2018-11-23;47;10;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-27/
2018-11-30;48;14;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-28/
2018-12-07;49;15;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-29/
2018-12-14;50;16;;;2;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-30/
2018-12-21;51;22;;;6;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-31/
2018-12-28;52;14;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-32/
NA;1;NA;NA;NA;NA;NA;NA
NA;2;NA;NA;NA;NA;NA;NA
2019-01-18;3;23;;;5;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-33/
2019-01-25;4;19;;;2;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-34/
2019-02-01;5;23;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-35/
2019-02-08;6;24;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-36/
2019-02-15;7;19;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-37/
2019-02-25;8;15;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-38/
2019-03-01;9;18;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-39/
2019-03-11;10;17;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-40/
2019-03-15;11;19;;;2;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-41/
2019-03-22;12;21;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-42/
2019-03-29;13;22;;;5;;
2019-04-05;14;24;;;7;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-43/
2019-04-12;15;27;;;6;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-44/
2019-04-19;16;22;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-45/
2019-04-29;17;28;;;2;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-45/
2019-05-06;18;26;;;9;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-47/
NA;19;NA;NA;NA;NA;NA;NA
2019-05-17;20;21;;;6;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-48/
2019-05-24;21;20;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-49/
2019-05-31;22;21;;;6;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-50/
2019-06-07;23;26;;;4;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-51/
2019-06-14;24;29;;;10;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-52/
2019-06-21;25;15;;;2;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-53/
2019-07-01;26;31;;;11;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-54/
2019-07-05;27;26;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-55/
2019-07-12;28;18;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-56/
2019-07-19;29;28;;;6;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-57/
2019-07-26;30;25;;;3;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-58/
2019-08-02;31;39;;;12;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-59/
2019-08-09;32;17;;;12;;http://redstar.ru/vooruzhyonnye-sily-rossijskoj-federatsii-za-nedelyu-60/
